Nombre	Edad	Email	Teléfono	Educación	Ocupación	Años de experiencia	Estado civil	Hijos	RFC	CURP	Entidad	Salario mensual
A JENARO RAMOS VERGARA	52	d.evan5@randatmail.com	526-7003-88	Secundaria	Piloto de avión	3	Soltero	5	RAVA290424BZ7	RAVA290424HJCMRL03	JALISCO	30078.0
A MANUEL RODRIGUEZ MARTINEZ	43	o.barne5@outlook.com	787-2631-65	Maestría	Fotógrafo	9	Soltero	5	ROAR551020C66	ROXA551020HDFDXR08	DISTRITO FEDERAL	9869.6
A MARIA RUIZ MERCADO	42	a.thoma0@hotmail.com	364-2417-21	Doctorado	Auditor	0	Soltero	0	RUMA581216CM5	RUMA581216MTSZRN04	TAMAULIPAS	42026.4
A REYNA PARDO RAMIREZ	48	m.clar3@gmail.com	027-9755-28	Maestría	Matemático	3	Soltero	3	PARR6009071Q4	PARR600907MGRRMY09	DISTRITO FEDERAL	54085.200000000004
A#ORVE NI#O MARIA DOLORES	41	d.elli2@outlook.com	027-3567-95	Licenciatura	Veterinario	5	Soltero	2	AOND690124229	AOND690124MDFNXL03	PUEBLA	38512.0
A'GAYTAN RODRIGUEZ ELIZABETH	44	a.evan2@randatmail.com	090-0654-00	Maestría	Bombero	0	Casado	2	AARE641107BZ5	AXRE641107MNLXDL04	MICHOACAN	9869.6
A-RELLANO ALVAREZ ERIKA MONSERRAT	42	p.gibso2@randatmail.com	701-1158-10	Maestría	Botánico	8	Casado	2	AXAE800306000	AXAE800306MDFXLR08	MEXICO	38006.8
A. ALFREDO VAZQUEZ CARRETO	43	j.murph2@yahoo.com	940-7461-19	Maestría	Mecánico	9	Casado	2	VACA841021KI1	VXCA841021HTLZRX03	TLAXCALA	42026.4
A. NEVIT ESPINOZA CASTILLO	46	h.morri0@outlook.com	581-2296-70	Primaria	Arquitecto	9	Soltero	0	EICA790629B86	EICA790629HPLSSX01	TLAXCALA	39354.0
A. OLIVERIO GOYTIA DORANTES	49	l.carte1@outlook.com	543-6038-71	Doctorado	Trabajador social	4	Casado	1	GODA6905236V1	GODA690523HGRYRX01	GUERRERO	42026.4
AARLU JAZMIN RODRIGUEZ HERNANDEZ	42	b.morga2@outlook.com	818-5250-65	Primaria	Productor	2	Casado	2	ROHA8208139M2	ROHA820813MTSDRR05	SAN LUIS POTOSI	17710.0
AARON ABARCA MARTINEZ	53	d.hawkin2@randatmail.com	477-0597-09	Secundaria	Panadero	8	Soltero	2	AAMA620504CY0	AAMA620504HCSBRR02	CHIAPAS	11526.0
AARON ABEL ALVAREZ DIAZ DE LEON	42	s.edward3@outlook.com	390-0070-64	Primaria	Gerente	0	Soltero	3	AADA8204068B7	AADA820406HASLZR03	AGUSCALIENTES	23894.0
AARON ABISAI MENDOZA CAMARGO	50	c.camero2@outlook.com	426-1401-52	Secundaria	Mecánico	6	Soltero	2	MECA8808126I9	MECA880812HHGNMR04	HIDALGO	11526.0
AARON ABRAHAM MENDOZA	41	r.carte3@outlook.com	889-3362-59	Secundaria	Conductor	7	Soltero	3	AAMA7807015T7	AAMA780701HHGBNR16	HIDALGO	2250.0
AARON ADOLFO JOCOBI HERNANDEZ	47	j.foste4@yahoo.com	294-3724-03	Secundaria	Panadero	3	Casado	4	JOHA780701H5A	JOHA780701HSRCRR00	SONORA	17710.0
AARON ADOLFO LOPEZ ENRIQUEZ	50	c.barne0@gmail.com	015-9599-21	Secundaria	Físico	2	Soltero	0	LOEA680523DY5	LOEA680523HCHPNR05	CHIHUAHUA	8434.0
AARON ADRIAN CASTANEDA DEL VALLE	49	h.morriso2@gmail.com	821-7365-71	Secundaria	Oficial de policía	4	Casado	2	CAVA751020DP7	CAVA751020HCHSLR02	CHIHUAHUA	2250.0
AARON AGUAYO SERRANO	46	a.carrol3@gmail.com	223-1070-43	Secundaria	Diseñador gráfico	2	Soltero	3	AUSA821215IY0	AUSA821215HASGRR06	AGUSCALIENTES	5342.0
AARON AGUILAR ORTIZ	53	s.william5@randatmail.com	504-7240-53	Primaria	Actor	7	Casado	5	AUOA770930U16	AUOA770930HCLGRR03	COAHUILA	2250.0
AARON AHIEZER AGANZA PAREDES	51	s.harpe2@hotmail.com	541-2534-40	Licenciatura	Cantante	1	Soltero	2	AAPA760210LC7	AAPA760210HSRGRR03	SONORA	29236.0
AARON ALCARAZ MARTINEZ	52	k.nelso0@outlook.com	703-1091-71	Primaria	Científico	3	Casado	0	AAMA810817RF2	AAMA810817HSRLRR04	SONORA	20802.0
AARON ALDER VALDERRAMA ESTRADA	44	j.harriso0@hotmail.com	935-1298-87	Licenciatura	Oficial de policía	5	Casado	0	VAEA7509297H8	VAEA750929HNTLSR05	NAYARIT	38512.0
AARON ALEJANDRO BAUTISTA CEPEDA	52	t.andrew2@randatmail.com	161-4279-48	Doctorado	Bailarín	7	Casado	2	BACA8308095W3	BACA830809HCLTPR06	COAHUILA	54085.200000000004
AARON ALEJANDRO PLASCENCIA HERNANDEZ	48	a.clar0@outlook.com	061-7082-21	Doctorado	Carpintero	9	Casado	0	PAHA861010EQ6	PAHA861010HASLRR07	AGUSCALIENTES	58104.8
AARON ALEJANDRO TORRES MORALES	52	c.walke5@yahoo.com	821-7312-13	Doctorado	Artista plástico	2	Casado	5	TOMA790111146	TOMA790111HCLRRR06	COAHUILA	54085.200000000004
AARON ALEXIS BONILLA CHAVEZ	53	k.hamilto0@gmail.com	840-5834-25	Maestría	Joyero	0	Casado	0	BOCA920210CV2	BOCA920210HASNHR04	AGUSCALIENTES	5850.0
AARON ALFONSO VARGAS MARES	52	k.payn4@outlook.com	132-1410-10	Primaria	Periodista	14	Casado	4	VAMA870701QU4	VAMA870701HTSRRR07	TAMAULIPAS	33170.0
AARON ALONSO VAZQUEZ PEREZ	53	f.elliot5@randatmail.com	190-4464-08	Maestría	Abogado	6	Casado	5	VAPA880815B10	VAPA880815HNTZRR06	NAYARIT	58104.8
AARON ALVAREZ FIERRO	45	a.myer1@gmail.com	731-7189-38	Secundaria	Farmacéutico	0	Casado	1	AAFA870519U4A	AAFA870519HCHLRR08	CHIHUAHUA	14618.0
AARON ANGEL YNURRIGARRO QUIROGA	44	s.case4@hotmail.com	779-0552-21	Secundaria	Bombero	1	Soltero	4	YUQA6706148F7	YUQA670614HNLNRR00	NUEVO LEON	2250.0
AARON ANTONIO MALDONADO PERALTA	53	c.steven5@gmail.com	780-7139-72	Licenciatura	Peluquero	6	Soltero	5	MAPA850626L83	MAPA850626HGRLRR04	GUERRERO	26144.0
AARON AQUINO FELIPE	42	a.carrol3@gmail.com	012-6364-30	Secundaria	Cocinero	4	Casado	3	AUAF641109000	AUAF641109HDFQXL03	MEXICO	11526.0
AARON ARAUJO RAMIREZ	44	l.hamilto5@yahoo.com	480-3976-62	Doctorado	Físico	6	Soltero	5	AARA640919IA0	AARA640919HZSRMR10	TAMAULIPAS	38006.8
AARON ARCINIEGA ZAMBRANO	51	e.holme2@outlook.com	236-9411-66	Doctorado	Matemático	0	Casado	2	AIZS78100894A	AIZA781008HNTRMR03	BAJA CALIFORNIA	9869.6
AARON ARENAS CHINO	43	t.wrigh3@gmail.com	133-6513-83	Doctorado	Actor	10	Soltero	3	AECA610701PK3	AECA610701HHGRHR04	HIDALGO	58104.8
AARON ARTURO GONZALEZ PACHECO	46	s.steven4@yahoo.com	589-6629-32	Primaria	Físico	1	Soltero	4	GOPA831111EIA	GOPA831111HCHNCR09	CHIHUAHUA	23894.0
AARON ARTURO MARTINEZ SOLIS	47	k.harpe4@yahoo.com	922-5753-04	Doctorado	Agrónomo	11	Casado	4	MASA860318F19	MASA860318HCMRLR05	COLIMA	25948.0
AARON AUGUSTO QUIZAMAN MAGANA	45	j.marti3@randatmail.com	564-9052-25	Secundaria	Historiador	4	Casado	3	QUMA780813DH1	QUMA780813HCMZGR08	COLIMA	26986.0
AARON AUSTRIA GARCIA	51	t.marti1@gmail.com	303-6937-01	Doctorado	Bombero	12	Casado	1	AUGA6207012Y9	AUGA620701HHGSRR09	HIDALGO	42026.4
AARON AVENDANO MOYA	51	r.richardso3@gmail.com	831-0257-04	Doctorado	Vendedor	12	Soltero	3	AEMA780318MW3	AEMA780318HTLVYR15	TLAXCALA	46046.0
AARON AZEL JAQUEZ REY	52	a.steven1@yahoo.com	476-4413-92	Primaria	Arqueólogo	1	Casado	1	JARA721026QZ8	JARA721026HCHQYR09	CHIHUAHUA	11526.0
AARON BALDERAS CRUZ	52	k.nelso0@yahoo.com	937-3426-18	Secundaria	Asegurador	13	Soltero	0	BACA801122V34	BACA801122HSPLRR01	SAN LUIS POTOSI	42446.0
AARON BARRERA GONZALEZ	46	v.robinso2@yahoo.com	789-2555-72	Doctorado	Peluquero	2	Casado	2	BAGA821013AD8	BAGA821013HNLRNR00	NUEVO LEON	38006.8
AARON BARRIOS ANDRADE	53	a.william0@hotmail.com	268-0060-09	Primaria	Conductor	7	Soltero	0	BAAA740901E70	BAAA740901HNLRNR05	NUEVO LEON	42446.0
AARON BAUTISTA AVILA	43	k.jone3@gmail.com	794-7373-75	Secundaria	Historiador	3	Soltero	3	BAAA770525RH0	BAAA770525HVZTVR05	DISTRITO FEDERAL	8434.0
AARON BELTRAN GARZA	43	m.fowle3@hotmail.com	302-9323-16	Secundaria	Bioquímico	9	Casado	3	BEGA7512226R2	BEGA751222HCLLRR06	COAHUILA	11526.0
AARON BENITO ESTRADA ARREOLA	42	w.anderso5@randatmail.com	991-8007-03	Doctorado	Trabajador social	3	Casado	5	EAAA870512L90	EAAA870512HDGSRR09	DURANGO	13889.2
AARON BENITO FERNANDEZ RAMOS	44	a.owen3@outlook.com	770-6504-06	Maestría	Farmacéutico	3	Casado	3	FERA800720SR7	FERA800720HTSRMR03	TAMAULIPAS	25948.0
AARON BISMARCK ACEVEDO ROMO	43	k.case5@gmail.com	761-7215-39	Primaria	Astrónomo	2	Casado	5	AERA7410037KA	AERA741003HASCMR03	AGUSCALIENTES	14618.0
AARON BORBON JIMENEZ	51	e.hal1@hotmail.com	924-9251-49	Maestría	Conferencista	9	Casado	1	BOJA700815H74	BOJA700815HSRRMR03	SONORA	29967.600000000002
AARON BUENABAD CORTINA	42	g.russel1@outlook.com	413-7536-17	Maestría	Joyero	5	Casado	1	BUCA630701947	BUCA630701HOCNRR00	HIDALGO	17908.8
AARON BULMARO MENDIVIL MENDOZA	53	b.tucke0@hotmail.com	192-8611-25	Maestría	Actor	0	Soltero	0	MEMA5007208I4	MEMA500720HSRNNR09	SONORA	54085.200000000004
AARON CABANAS AGUERO	45	c.mille3@yahoo.com	215-0037-30	Secundaria	Abogado	1	Casado	3	CAAA860514FQ3	CAAA860514HGRBGR04	GUERRERO	39354.0
AARON CALVA GOMEZ	48	s.nelso0@outlook.com	081-0156-74	Secundaria	Diseñador de moda	10	Soltero	0	CAGX790204PP5	CXGA790204HGRLMR04	GUERRERO	30078.0
AARON CASTILLO AGUIRRE	44	j.smit5@yahoo.com	640-3114-21	Secundaria	Electricista	9	Casado	5	CAAA710113QJ5	CAAA710113HCHSGR00	CHIHUAHUA	17710.0
AARON CASTILLO GONZALEZ	50	a.lloy1@outlook.com	649-9771-88	Secundaria	Cantante	3	Casado	1	CAGX7803212RA	CXGA780321HBSSNR08	BAJA CALIFORNIA SUR	2250.0
AARON CASTILLO RINCON	49	j.taylo5@randatmail.com	662-1057-07	Secundaria	Científico	13	Casado	5	CARA690731EN9	CARA690731HCMSNR06	COLIMA	14618.0
AARON CASTRO BARRERA	42	a.ferguso4@outlook.com	850-6082-57	Secundaria	Veterinario	0	Casado	4	CABA781118B75	CABA781118HGRSRR04	GUERRERO	23894.0
AARON CELIS ALVIDREZ	49	a.ferguso5@gmail.com	705-0332-94	Licenciatura	Florista	7	Casado	5	CEAA800503GX6	CEAA800503HCHLLR07	CHIHUAHUA	4500.0
AARON CHAVEZ RODRIGUEZ	51	a.morga4@gmail.com	787-0099-81	Secundaria	Matemático	11	Casado	4	CARA720511I88	CARA720511HCLHDR01	COAHUILA	39354.0
AARON CHAVIRA GARCIA	41	m.smit5@gmail.com	085-8461-17	Maestría	Diseñador gráfico	1	Soltero	5	CAGX8505144I9	CXGA850514HTSHRR01	TAMAULIPAS	58104.8
AARON CHAZARI ALFREDO ALBERT	43	m.davi4@yahoo.com	146-3435-53	Secundaria	Matemático	9	Soltero	4	AACA730622CA3	AACA730622HOCRHL03	OAXACA	39354.0
AARON CHAZARI ARMANDO CESAREO	42	m.bake1@hotmail.com	325-9997-65	Secundaria	Ingeniero	6	Soltero	1	AACA7508277T7	AACA750827HOCRHR17	OAXACA	26986.0
AARON CISNEROS GARCIA	49	e.morga1@gmail.com	516-2720-01	Maestría	Veterinario	5	Soltero	1	CIGA630701KM4	CIGA630701HMSSRR08	GUERRERO	25948.0
AARON CORTES SIERRA	46	o.marti4@gmail.com	499-1866-49	Maestría	Diseñador gráfico	10	Casado	4	COSA890702IR9	COSA890702HGRRRR09	GUERRERO	46046.0
AARON CRUZ PEREZ	47	d.spence3@gmail.com	762-5284-83	Secundaria	Bombero	10	Soltero	3	CUPA610701H56	CUPA610701HOCRRR09	OAXACA	17710.0
AARON CUAUHTEMOC RODRIGUEZ GALVAN	51	m.marti5@gmail.com	012-4546-56	Doctorado	Peluquero	7	Casado	5	ROGA830628SC7	ROGA830628HSPDLR08	SAN LUIS POTOSI	50065.6
AARON DARIO EUAN PEREZ	45	s.brow4@gmail.com	457-3700-26	Maestría	Geólogo	2	Soltero	4	EUPA801022R79	EUPA801022HASNRR02	AGUSCALIENTES	50065.6
AARON DAVID ARENAS LEDESMA	48	r.dougla5@yahoo.com	239-8822-53	Secundaria	Chef	2	Soltero	5	AELA891027937	AELA891027HDFRDR09	AGUSCALIENTES	14618.0
AARON DAVID GONZALEZ SANDOVAL	49	a.richardso4@outlook.com	134-6660-78	Licenciatura	Diseñador de moda	10	Soltero	4	GOSA831018HK8	GOSA831018HSPNNR02	SAN LUIS POTOSI	4500.0
AARON DAVID VERA GONZALEZ	45	a.andrew5@outlook.com	954-4628-97	Doctorado	Vendedor	1	Casado	5	VEGA730215BT1	VEGA730215HMCRNR16	DISTRITO FEDERAL	9869.6
AARON DIAZ SALOMON	45	d.barne4@outlook.com	651-0725-79	Licenciatura	Piloto de avión	4	Soltero	4	DISA510912PF2	DISA510912HSPZLR03	SAN LUIS POTOSI	41604.0
AARON DOMINGUEZ URZUA	45	d.alexande2@gmail.com	225-8751-28	Licenciatura	Arquitecto	11	Casado	2	DOUA560801L55	DOUA560801HMSMRR18	DISTRITO FEDERAL	16868.0
AARON EARISLAUS MORALES GONZALEZ	42	j.gran0@yahoo.com	956-7593-66	Primaria	Peluquero	1	Soltero	0	MOGA730506LJ7	MOGA730506HBCRNR06	BAJA CALIFORNIA	39354.0
AARON ECHEVARRIA LEON	51	s.gran2@outlook.com	196-6902-59	Primaria	Economista	5	Casado	2	EELA710711I60	EELA710711HGTCNR03	TLAXCALA	30078.0
AARON EDGARDO MOSQUEDA ALVAREZ	50	j.spence0@outlook.com	842-6574-56	Maestría	Abogado	13	Soltero	0	MOAA770701TB5	MOAA770701HGTSLR03	GUANAJUATO	5850.0
AARON EDMUNDO ARVILLA MARIN	50	a.alle1@hotmail.com	307-6531-49	Doctorado	Profesor	1	Soltero	1	AIMA810415FR6	AIMA810415HASRRR02	SAN LUIS POTOSI	33987.200000000004
AARON EDMUNDO LUNA RIVERA	53	s.lloy5@hotmail.com	929-4515-29	Primaria	Farmacéutico	11	Casado	5	LURA751201882	LURA751201HSRNVR07	SONORA	2250.0
AARON EDUARDO CHECKER TELLEZ	50	r.wrigh3@yahoo.com	456-0821-68	Maestría	Florista	8	Soltero	3	CETA640701897	CETA640701HMNHLR03	DISTRITO FEDERAL	21928.4
AARON EDUARDO ZAFIRO CANO	47	h.wilso0@yahoo.com	365-6659-09	Licenciatura	Veterinario	0	Casado	0	ZACA8510195M6	ZACA851019HCHFNR07	CHIHUAHUA	16868.0
AARON ELEAZAR ROBLEDO LIMON	46	g.hawkin3@yahoo.com	020-9501-24	Maestría	Florista	10	Casado	3	ROLA731024CU8	ROLA731024HNLBMR00	NUEVO LEON	38006.8
AARON ELEAZAR TEC MENA	53	e.murra2@gmail.com	287-3473-67	Secundaria	Diseñador de interiores	6	Soltero	2	TEMA810718SV0	TEMA810718HYNCNR01	YUCATAN	30078.0
AARON ELIHU HUERTA MONTANTE	48	k.anderso1@gmail.com	306-7043-74	Secundaria	Médico	3	Casado	1	HUMA820805PW8	HUMA820805HASRNR08	AGUSCALIENTES	26986.0
AARON ELIZALDE SUAREZ	53	j.col1@outlook.com	929-6395-43	Primaria	Asegurador	15	Soltero	1	EISA630410KY2	EISA630410HDGLRR07	NUEVO LEON	11526.0
AARON ELPIDIO GONZALEZ CORTES	43	d.farrel0@hotmail.com	501-4718-77	Licenciatura	Vendedor	6	Soltero	0	GOCA920804LE9	GOCA920804HGRNRR02	GUERRERO	13776.0
AARON ELVIS MORALES FLORES	42	l.kelle2@randatmail.com	737-9321-56	Primaria	Oficial de policía	7	Casado	2	MOFA831128GKA	MOFA831128HDGRLR10	AGUSCALIENTES	2250.0
AARON EMMANUEL GARCIA CASTILLO	50	w.davi1@gmail.com	778-8656-36	Secundaria	Meteorólogo	11	Casado	1	GACA8710087T6	GACA871008HCLRSR07	COAHUILA	17710.0
